Geography,Major field of,Highest certifi,Total - Sex,  Male,  Female
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Health and related fields,  Secondary (high) school diploma or equivalency certificate,0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Health and related fields,"  Postsecondary certificate, diploma or degree",32270,5365,26905
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Health and related fields,    Apprenticeship or trades certificate or diploma,3060,460,2600
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Health and related fields,"    College, CEGEP or other non-university certificate or diploma",17610,1905,15710
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Health and related fields,    University certificate or diploma below bachelor level,2060,325,1730
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Health and related fields,"    University certificate, diploma or degree at bachelor level or above",9540,2675,6865
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Personal, protective and transportation services","Total - Highest certificate, diploma or degree",23500,15045,8450
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Personal, protective and transportation services","  No certificate, diploma or degree",0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Personal, protective and transportation services",  Secondary (high) school diploma or equivalency certificate,0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Personal, protective and transportation services","  Postsecondary certificate, diploma or degree",23495,15050,8450
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Personal, protective and transportation services",    Apprenticeship or trades certificate or diploma,11560,7445,4115
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Personal, protective and transportation services","    College, CEGEP or other non-university certificate or diploma",10865,6700,4170
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Personal, protective and transportation services",    University certificate or diploma below bachelor level,760,640,120
Newfoundland and Labrador / Terre-Neuve-et-Labrador,"  Personal, protective and transportation services","    University certificate, diploma or degree at bachelor level or above",310,265,45
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Other fields of study,"Total - Highest certificate, diploma or degree",10,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Other fields of study,"  No certificate, diploma or degree",0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Other fields of study,  Secondary (high) school diploma or equivalency certificate,0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Other fields of study,"  Postsecondary certificate, diploma or degree",0,0,0
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Other fields of study,    Apprenticeship or trades certificate or diploma,0,0,10
Newfoundland and Labrador / Terre-Neuve-et-Labrador,  Other fields of study,"    College, CEGEP or other non-university certificate or diploma",0,0,0
